Referencia,Produto
LACOR 62816,MOINHO DE ESPECIES DUPLO 90 GR - 62816
LACOR 62823,MOINHO DE PIMENTA EM ACRÍLICO 23CM - 62823
LACOR 62904,POLVILHADOR PARA QUEIJO - 62904
LACOR 62905,POLVILHADOR BURUCOS GRANDES - 62905
LACOR 62906,POLVILHADOR BURUCOS PEQUENO - 62906
LACOR 62931,PINÇA COMPRIDA SILICONE 29CMS. - 62931
LACOR 62933,PINÇA GRELHADOR INOX 30CMS. - 62933
LACOR 62938,PINÇA TIRA-ESPINHAS INOX 8 CM - 62938
LACOR 62943,MEDIDOR PARA MACARRÃO 11X9 CM - 62943
LACOR 62950,CESTA DE VINHO INÓX 18/10 - REFª 62950
LACOR 62970,QUEIJEIRA PARMESANA COM COLHER - 62970
LACOR 62976,6 ESPETOS PARA MARISCO INOX 18/10 - 62976
LACOR 62979,MINI PICADOR INÓX - 6X17cm - REFª 62979
LACOR 62980,PICADOR DE CEBOLA INOX 18/10 - 62980
